st_num;default;student;balance;income;student2;default2
8862;No;Yes;1204,9179044210475;11339,156769128203;1;0
3766;No;Yes;1414,6577991222962;17954,8525455556;1;0
5587;No;No;0,0;10593,921246084676;0;0
9800;No;No;1509,9156640855326;24427,7685054556;0;0
1194;No;No;522,0216391274246;37341,89877861282;0;0
1793;No;Yes;1345,230626904699;18518,715689047585;1;0
7477;No;No;1282,5675709511218;36558,837920638645;0;0
535;No;Yes;1082,7479762680405;26096,337033934815;1;0
2487;No;No;265,3022838742622;32276,46293736108;0;0
1266;No;No;0,0;17059,36832093953;0;0
7300;No;No;1118,9298027840273;49988,09132735546;0;0
3010;No;No;661,7606163802053;47169,3568472448;0;0
884;No;No;75,79525931196417;55189,685993114654;0;0
7419;No;No;502,02595419376604;31574,71250874961;0;0
5095;No;Yes;831,8453438499514;19797,356588476392;1;0
5650;No;No;357,96946072893263;57012,55088130064;0;0
9506;No;No;908,9987947290132;46174,4710581454;0;0
8912;No;Yes;802,3692670715664;18999,525292325932;1;0
2451;No;No;0,0;46450,96604152795;0;0
2055;No;No;133,50891418028266;49516,34082739163;0;0
1434;No;No;511,5159961867482;43737,181805044245;0;0
4883;No;No;619,5406416290383;39049,50041902426;0;0
1725;No;No;336,07054518445347;38595,91154608877;0;0
3417;No;No;735,7308566974037;23225,17710456563;0;0
2176;No;No;841,7346630047144;38023,33074351848;0;0
4573;No;No;79,53894966551059;34417,37572176711;0;0
5196;No;No;495,7500690717206;44361,39119050976;0;0
9465;No;No;1500,594003688748;27354,50024626122;0;0
3604;No;No;1541,3208022226045;32508,383900063283;0;0
9336;No;Yes;1595,906800156778;23308,136284846347;1;0
8732;No;No;1138,628859424191;36978,459378924876;0;0
8754;No;Yes;317,2679998101138;17801,53722235182;1;0
4628;No;Yes;959,2223532926475;16082,44763460756;1;0
9779;No;No;297,24303368345915;39081,92289750744;0;0
9015;No;No;1002,3512182151071;43048,16991519427;0;0
2509;No;No;526,4708649971687;44241,565615351035;0;0
1915;No;No;1163,5345738003355;46173,76824307605;0;0
248;No;No;687,6837590148731;39373,579746241485;0;0
4056;No;No;326,6522360244767;45562,57423733762;0;0
9618;No;No;619,0292594226221;42868,58960751514;0;0
943;No;Yes;957,492536316181;16323,364760765524;1;0
7775;No;No;937,5011931050715;33266,51943838762;0;0
6307;No;No;416,12828644028673;21960,62455546995;0;0
9587;No;No;1763,8456395514404;36686,34837038856;0;0
1201;No;No;1123,7934388702938;24901,996340293317;0;0
4726;No;No;548,6453079034848;38094,42616968862;0;0
860;No;No;595,1451336041054;46011,94663169373;0;0
3591;No;No;32,068078994430834;38788,66047137971;0;0
1557;No;No;1048,5521398605692;40916,124546004954;0;0
6553;No;No;1701,6884869113824;38567,204705425655;0;0
5918;No;No;1177,976866769111;50811,75945570631;0;0
3409;No;Yes;750,4126745003501;17291,52688642589;1;0
2345;No;No;0,0;26626,48588121577;0;0
8347;No;No;0,0;47725,521529529215;0;0
4605;No;Yes;1270,9964035053813;15069,048707179874;1;0
5617;No;No;830,046094160683;51847,122933573155;0;0
3899;No;No;982,381607125144;29157,292271083305;0;0
984;No;No;953,9298176724657;32640,144047781585;0;0
8399;No;No;1116,7203565628424;33716,177522331556;0;0
7184;No;Yes;510,2960400905346;19682,560831029903;1;0
694;No;No;331,68052673608935;49756,171011055645;0;0
3413;No;No;724,2438057950457;43399,71828239544;0;0
6217;No;Yes;402,3587994573405;15256,484184540896;1;0
2195;No;No;1470,342592701384;26136,74368794535;0;0
467;No;No;1604,7205537547804;38186,98506953929;0;0
5854;No;Yes;1029,9169747806523;16691,803287649083;1;0
1299;No;No;0,0;36225,507252061856;0;0
9733;No;No;92,10219510407205;22726,413177805694;0;0
7570;No;No;845,7367046332977;34676,26423082246;0;0
8315;No;No;1101,9844604695786;36231,8538227436;0;0
6530;No;No;465,84566382460326;52714,08886330238;0;0
